order_year,order_month,market,order_region,monthly_sales,monthly_sales_growth_rate
2017,April,LATAM,Caribbean,169489.88335528,13.723525142911086
2017,April,LATAM,Central America,626880.072496221,30.5571545183726
2017,April,LATAM,South America,241951.66501855,-39.31138005459651
2017,August,Europe,Northern Europe,239920.81455238,7171.275048825643
2017,August,Europe,Southern Europe,211234.54409678,1976.2416333464316
2017,August,Europe,Western Europe,658181.81260765,11318.263138905706
2017,December,Pacific Asia,Australia/New Zealand,99600.86174656,-83.67141550396842
2017,December,Pacific Asia,Eastern Asia,123693.51158711,4210.434088493058
2017,December,Pacific Asia,Melanesia,164.3800049,-90.79495562154911
2017,December,Pacific Asia,Southeastern Asia,183288.30243712,-5.464408564803658
2017,December,Pacific Asia,Southern Asia,97163.76156733,84.66222465217808
2017,February,LATAM,Caribbean,157451.17288408,-7.102907992428542
2017,February,LATAM,Central America,552671.420803801,-11.837774870865324
2017,February,LATAM,South America,282412.305102471,16.72261279161642
2017,January,Africa,Eastern Africa,41482.34091109,-51.853321912866626
2017,January,Africa,Middle Africa,29969.81061775,-57.628711200178515
2017,January,Africa,Northern Africa,71486.82144237,-49.92218644148295
2017,January,Africa,Southern Africa,19468.59034926,-61.94419265930067
2017,January,Africa,Western Africa,85422.6015346,-45.52668593420106
2017,January,Europe,Asiatic Russia/European Russia,41770.88090186,24.563441103024175
2017,January,Europe,Eastern Europe,53099.04091335,-52.19423872599398
2017,January,Europe,Northern Europe,10793.6202318,-95.50117389692193
2017,January,Europe,Southern Europe,6889.50014516,-96.73845952866333
2017,January,Europe,Western Europe,1459.83003238,-99.77820261751137
2017,January,LATAM,Caribbean,74546.91157816,-52.65394965774974
2017,January,LATAM,Central America,246624.67471325,-55.37589507440769
2017,January,LATAM,South America,118371.74222442,-58.085487039429886
2017,January,Pacific Asia,Central Asia,11906.64019018,-59.12116274017387
2017,January,Pacific Asia,Eastern Asia,1624.6400184200002,-98.68656003247523
2017,January,Pacific Asia,Southern Asia,33142.450643731,-65.89011159189755
2017,January,Pacific Asia,Western Asia,158574.733201321,-25.589628346312054
2017,January,USCA,Northern America,23063.19049862,-30.56738091938971
2017,July,Europe,Northern Europe,226571.39437869,1999.1232738684726
2017,July,Europe,Southern Europe,246742.8046223,3481.4326064807665
2017,July,Europe,Western Europe,631059.16197826,43128.26274161708
2017,June,Europe,Northern Europe,87659.19168218,-61.310565297723784
2017,June,Europe,Southern Europe,76988.15157426,-68.7982181721128
2017,June,Europe,Western Europe,285904.7255137,-54.69446563180562
2017,June,LATAM,Caribbean,67819.48129734,-9.024425208771403
2017,June,LATAM,Central America,248428.08485858,0.7312367050972712
2017,June,LATAM,South America,265286.85538476,124.11333177964457
2017,March,LATAM,Caribbean,185741.24374255099,173.87594270768346
2017,March,LATAM,Central America,585203.34198614,135.56247367091063
2017,March,LATAM,South America,277060.19533665,4.437965814331246
2017,May,LATAM,Caribbean,165468.56336877,-10.914474332841328
2017,May,LATAM,Central America,651355.03258596,11.304052088169158
2017,May,LATAM,South America,288661.72594136,4.187368232601307
2017,November,Europe,Northern Europe,49986.9411953,-42.9758132192979
2017,November,Europe,Southern Europe,42350.2209801,-44.991248504972226
2017,November,Europe,Western Europe,109286.1025755,-61.77534233505937
2017,November,Pacific Asia,Australia/New Zealand,106849.70202672,7.2778891196795925
2017,November,Pacific Asia,Eastern Asia,124009.36283828,7533.036330034635
2017,November,Pacific Asia,Melanesia,260.6499939,58.565510481986884
2017,November,Pacific Asia,Southeastern Asia,115541.11247859,-36.96209144703697
2017,November,Pacific Asia,Southern Asia,78630.29157862,137.24947929731073
2017,October,Europe,Northern Europe,226930.34196995,353.9792524678166
2017,October,Europe,Southern Europe,214061.77179674,405.45609171042054
2017,October,Europe,Western Europe,633002.05525387,479.21550895875555
2017,September,Europe,Northern Europe,244221.06366818,7.61939613192828
2017,September,Europe,Southern Europe,233770.05369693,9.20681994490067
2017,September,Europe,Western Europe,665783.99025808,5.178803880986216
