order_year,order_month,market,order_region,monthly_sales,monthly_sales_growth_rate
2015,April,LATAM,Caribbean,146971.342892821,
2015,April,LATAM,Central America,639513.772662681,
2015,April,LATAM,South America,227978.164267081,
2015,August,Europe,Northern Europe,242856.734849561,
2015,August,Europe,Southern Europe,184636.82363312,
2015,August,Europe,Western Europe,602001.132156081,
2015,December,Pacific Asia,Australia/New Zealand,261463.02509736,
2015,December,Pacific Asia,Eastern Asia,240284.924729631,
2015,December,Pacific Asia,Melanesia,5259.38008508,
2015,December,Pacific Asia,Southeastern Asia,329096.19631558,
2015,December,Pacific Asia,Southern Asia,221737.35438715,
2015,February,LATAM,Caribbean,184870.69351024998,25.78689822890652
2015,February,LATAM,Central America,497559.12987229,-22.19727687792372
2015,February,LATAM,South America,244580.074785501,7.282237126433966
2015,January,LATAM,Caribbean,165906.482993731,-10.258094539720819
2015,January,LATAM,Central America,552785.680789432,11.09949503515637
2015,January,LATAM,South America,332897.9164142,36.10999044225274
2015,July,Europe,Northern Europe,231411.86461284,-4.712601544202844
2015,July,Europe,Southern Europe,228728.00447272,23.879949823666145
2015,July,Europe,Western Europe,577941.321010312,-3.9966388534184882
2015,June,Europe,Northern Europe,200999.23386035,-13.142208937027222
2015,June,Europe,Southern Europe,204334.43409972,-10.664881385746261
2015,June,Europe,Western Europe,618672.501871963,7.047632584991148
2015,March,LATAM,Caribbean,183716.77366297,10.735138463463167
2015,March,LATAM,Central America,584533.311173182,5.743207808569006
2015,March,LATAM,South America,283003.605498121,-14.987871192921265
2015,May,Europe,Northern Europe,6738.94009613,-96.64728070515329
2015,May,Europe,Southern Europe,2346.73004725,-98.85152492403472
2015,May,Europe,Western Europe,13521.25026736,-97.81447369546122
2015,May,LATAM,Caribbean,149036.78297194,-18.8768777066871
2015,May,LATAM,Central America,480157.57911452,-17.856250458879007
2015,May,LATAM,South America,398677.15765528,40.87352595863909
2015,November,Pacific Asia,Australia/New Zealand,254200.545149672,-2.777631730139929
2015,November,Pacific Asia,Eastern Asia,255512.814878851,6.337430517688314
2015,November,Pacific Asia,Southeastern Asia,326084.0765679,-0.9152703013290298
2015,November,Pacific Asia,Southern Asia,193322.804022311,-12.814507705917533
2015,October,Europe,Northern Europe,171271.64333903,2441.5219737208663
2015,October,Europe,Southern Europe,152171.99292207,6384.426834709502
2015,October,Europe,Western Europe,457434.22897955,3283.0764162674077
2015,October,Pacific Asia,Australia/New Zealand,67192.41127879,-73.56716475992313
2015,October,Pacific Asia,Eastern Asia,82146.03156739,-67.85052381566898
2015,October,Pacific Asia,Southeastern Asia,78078.64161016,-76.05567176663354
2015,October,Pacific Asia,Southern Asia,40859.3207363,-78.8647175158992
2015,September,Europe,Northern Europe,197707.123758861,15.434826165299476
2015,September,Europe,Southern Europe,211039.324210001,38.68473439661004
2015,September,Europe,Western Europe,609592.1520056709,33.26334440812546
